     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
   192.168.250.3,  23.226.231.226,       8,  533.000,2020-02-25 08:21:06.190,2020-02-25 08:29:59.190
  192.168.250.50,   40.114.211.99,     198,   90.270,2020-02-25 08:28:30.860,2020-02-25 08:30:01.130
   192.168.250.3,  23.226.231.226,      78,   31.580,2020-02-25 08:29:30.210,2020-02-25 08:30:01.790
  192.168.250.62,   192.168.250.1,       0,    0.000,2020-02-25 08:30:01.860,2020-02-25 08:30:01.860
   192.168.250.1,  192.168.250.62,       0,    0.000,2020-02-25 08:30:01.860,2020-02-25 08:30:01.860
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:02.530,2020-02-25 08:30:02.530
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:02.540,2020-02-25 08:30:02.540
  192.168.250.50,   173.194.73.95,       0,    0.000,2020-02-25 08:30:02.540,2020-02-25 08:30:02.540
   173.194.73.95,   217.15.20.194,       0,    0.000,2020-02-25 08:30:02.550,2020-02-25 08:30:02.550
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:02.700,2020-02-25 08:30:02.700
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:02.700,2020-02-25 08:30:02.700
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:02.700,2020-02-25 08:30:02.700
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:02.700,2020-02-25 08:30:02.700
  192.168.250.50,   108.177.14.94,       0,    0.000,2020-02-25 08:30:02.710,2020-02-25 08:30:02.710
   108.177.14.94,   217.15.20.194,       0,    0.000,2020-02-25 08:30:02.730,2020-02-25 08:30:02.730
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.680,2020-02-25 08:30:03.680
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.690,2020-02-25 08:30:03.690
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.700,2020-02-25 08:30:03.700
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.710,2020-02-25 08:30:03.710
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.710,2020-02-25 08:30:03.710
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.710,2020-02-25 08:30:03.710
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.710,2020-02-25 08:30:03.710
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.710,2020-02-25 08:30:03.710
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.720,2020-02-25 08:30:03.720
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.730,2020-02-25 08:30:03.730
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.730,2020-02-25 08:30:03.730
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.730,2020-02-25 08:30:03.730
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:03.730,2020-02-25 08:30:03.730
